Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"KellyOptimal(mw=0.02,lb=240,kf=0.5,hl=45)",+2.515,5.078,0.143,-0.070
"KellyOptimal(mw=0.02,lb=240,kf=0.7,hl=45)",+2.515,5.078,0.143,-0.070
"KellyOptimal(mw=0.02,lb=240,kf=0.3,hl=45)",+2.515,5.078,0.143,-0.070
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=3.0,hl=90)",+2.513,5.114,0.140,-0.065
"CVXPYRegimeUtil(mw=0.02,lb=240,k=1.0,rs=2.0,hl=90)",+2.510,5.109,0.139,-0.065
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=5)",+2.506,4.487,0.233,-0.086
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=0.1,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
