Strategy,Sharpe,Fitness,TO,DD
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=9)",5.158,13.993,0.229,-0.063
"CorrSelAdaptive(mw=0.08,mc=0.5,lb=240,n=9)",5.158,13.993,0.229,-0.063
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=13)",5.157,14.007,0.223,-0.061
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=13)",5.157,14.007,0.223,-0.061
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=13)",5.157,14.007,0.223,-0.061
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=13)",5.157,14.007,0.223,-0.061
"CorrSelAdaptive(mw=0.05,mc=0.6,lb=280,n=13)",5.157,14.007,0.223,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=13)",5.143,14.273,0.225,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=13)",5.143,14.273,0.225,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=13)",5.143,14.273,0.225,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=13)",5.143,14.273,0.225,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=280,n=13)",5.143,14.273,0.225,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=13)",5.138,14.180,0.224,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=13)",5.138,14.180,0.224,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=13)",5.138,14.180,0.224,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=13)",5.138,14.180,0.224,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=13)",5.138,14.180,0.224,-0.062
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=13)",5.127,14.184,0.224,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=13)",5.127,14.184,0.224,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=13)",5.127,14.184,0.224,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=13)",5.127,14.184,0.224,-0.061
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=240,n=13)",5.127,14.184,0.224,-0.061
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
"CorrSelect(mw=0.03,mc=0.6,n=12)",5.116,12.924,0.237,-0.049
ProperEqual(mw=0.08),5.116,13.404,0.244,-0.053
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=4)",5.099,11.978,0.243,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=4)",5.099,11.978,0.243,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=4)",5.099,11.978,0.243,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=4)",5.099,11.978,0.243,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=280,n=4)",5.099,11.978,0.243,-0.044
"ProperAdaptive(mw=0.05,lb=180)",5.095,14.216,0.205,-0.067
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=4)",5.084,11.997,0.241,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=4)",5.084,11.997,0.241,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=4)",5.084,11.997,0.241,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=4)",5.084,11.997,0.241,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=180,n=4)",5.084,11.997,0.241,-0.044
"ProperAdaptive(mw=0.05,lb=180)",5.082,14.084,0.207,-0.067
ProperEqual(mw=0.05),5.079,13.042,0.243,-0.053
"QPOptimal(mw=0.05,lb=300,rb=60)",5.051,12.603,0.252,-0.054
"SelectSharpe(n=16,d=1)",5.046,12.545,0.199,-0.036
"SelectSharpe(n=16,d=1)",5.046,12.545,0.199,-0.036
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=4)",5.027,11.819,0.242,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=4)",5.027,11.819,0.242,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=4)",5.027,11.819,0.242,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=4)",5.027,11.819,0.242,-0.044
"CorrSelAdaptive(mw=0.03,mc=0.3,lb=240,n=4)",5.027,11.819,0.242,-0.044
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.08,mc=0.7,n=17)",5.022,13.044,0.243,-0.047
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelect(mw=0.02,mc=0.6,n=9)",4.990,12.585,0.199,-0.037
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=7)",4.963,12.524,0.220,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=7)",4.963,12.524,0.220,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=7)",4.963,12.524,0.220,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=7)",4.963,12.524,0.220,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=180,n=7)",4.963,12.524,0.220,-0.056
"ProperAdaptive(mw=0.05,lb=240)",4.955,13.577,0.207,-0.067
"ProperAdaptive(mw=0.05,lb=280)",4.954,13.592,0.207,-0.066
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=12)",4.948,13.215,0.200,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=12)",4.948,13.215,0.200,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=12)",4.948,13.215,0.200,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=12)",4.948,13.215,0.200,-0.056
"CorrSelAdaptive(mw=0.03,mc=0.6,lb=180,n=12)",4.948,13.215,0.200,-0.056
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"CorrSelect(mw=0.05,mc=0.7,n=16)",4.936,12.300,0.253,-0.047
"ProperAdaptive(mw=0.05,lb=240)",4.931,13.537,0.205,-0.068
"QPOptimal(mw=0.03,lb=300,rb=60)",4.921,11.787,0.238,-0.055
"ProperAdaptive(mw=0.05,lb=280)",4.919,13.486,0.205,-0.068
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=7)",4.912,12.263,0.221,-0.052
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=7)",4.912,12.263,0.221,-0.052
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=7)",4.912,12.263,0.221,-0.052
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=7)",4.912,12.263,0.221,-0.052
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=280,n=7)",4.912,12.263,0.221,-0.052
"SelectSharpe(n=17,d=1)",4.890,11.749,0.207,-0.035
"QPOptimal(mw=0.05,lb=180,rb=30)",4.879,11.975,0.255,-0.059
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=7)",4.875,12.264,0.186,-0.045
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=7)",4.875,12.264,0.186,-0.045
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=7)",4.875,12.264,0.186,-0.045
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=7)",4.875,12.264,0.186,-0.045
"CorrSelAdaptive(mw=0.02,mc=0.5,lb=180,n=7)",4.875,12.264,0.186,-0.045
"QPOptimal(mw=0.05,lb=300,rb=15)",4.874,11.988,0.250,-0.055
"CorrSelAdaptive(mw=0.03,mc=0.5,lb=240,n=7)",4.865,12.154,0.221,-0.055
