id,expression,is_sharpe,is_fitness,ic_mean,turnover,min_sub_sr,pnl_kurtosis,rolling_sr_std,pnl_skew,h1_sr,h2_sr,n_gates_pass,all_pass,g_is_sharpe,g_fitness,g_ic,g_stable,g_turnover,g_sub_sr,g_kurtosis,g_roll_std,g_skew
97,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(add(volume_momentum_1, momentum_60d), 36)), 6)",4.443528424043767,13.333582978580855,-0.011703448277344047,0.23603560891196207,0.0,10.35311627664975,0.039609417068900636,1.0690713589777177,0.0,4.570014276242565,7,False,True,True,True,False,True,False,True,True,True
98,"rank(correlation(high_low_range, close, 120))",3.7135098168477936,16.485903181474942,-0.00930122330265906,0.07265301771040306,3.6282604201105326,15.009620071119365,0.043920588573504206,0.515486925270281,4.80256661710067,3.6282604201105326,9,True,True,True,True,True,True,True,True,True,True
99,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_rank(adv60, 240)), 6)",4.47820257272761,15.308988726964339,-0.010625570871457973,0.20315507503975183,0.0,4.87065948450248,0.029602810625863393,0.7426071676178003,0.0,4.605694062132582,7,False,True,True,True,False,True,False,True,True,True
100,"multiply(df_min(sma(sma(volume_momentum_1, 24), 48), df_min(adv20, df_min(momentum_20d, momentum_60d))), add(rank(momentum_5d), df_min(ts_rank(adv20, 18), df_min(momentum_20d, adv20))))",3.573031420684944,12.404454488817537,-0.001991578833195146,0.17367212574939328,0.0,8.088565248900121,0.030991972477105435,0.40887066755853047,0.0,3.674403132368279,7,False,True,True,True,False,True,False,True,True,True
101,"correlation(multiply(multiply(multiply(dollars_traded, high), multiply(volume_ratio_20d, high)), multiply(ts_skewness(returns, 90), ts_rank(close, 180))), sqrt(zscore_cs(momentum_20d)), 30)",3.378855673498401,8.942892293533163,-0.0020365761073480077,0.23061006188548488,2.7604973498836154,5.676957895830166,0.043961714354505556,0.556456033028308,2.7604973498836154,3.524340643363463,9,True,True,True,True,True,True,True,True,True,True
102,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), subtract(df_min(adv20, volume_ratio_20d), correlation(turnover, historical_volatility_10, 36))), 6)",4.605902544331549,14.048805231132514,-0.011248142465174521,0.2597148156596724,4.7057075933013754,6.850678181546269,0.03743339696110973,0.6503555745349933,8.479271412660443,4.7057075933013754,9,True,True,True,True,True,True,True,True,True,True
103,"correlation(multiply(multiply(multiply(dollars_traded, high), delay(close_position_in_range, 3)), multiply(delay(beta_to_btc, 180), ts_rank(close, 120))), sqrt(zscore_cs(momentum_20d)), 30)",3.8735829081079993,10.952745604283457,-0.0019240955324959115,0.23636493745617487,0.0,6.159780052054466,0.04166398704880615,0.6926438129244215,0.0,4.064870522567059,7,False,True,True,True,False,True,False,True,True,True
104,"multiply(df_min(sma(ts_zscore(returns, 180), 48), df_min(sma(volume_momentum_1, 24), df_min(momentum_20d, adv20))), add(rank(momentum_5d), df_min(ts_rank(adv20, 18), df_min(momentum_20d, adv20))))",3.8266856907671567,11.658306742706456,-0.002749396947461288,0.2713248227408011,2.480212059539867,7.990010325324447,0.04652437486792897,0.5210359895078058,2.480212059539867,4.087947354239106,9,True,True,True,True,True,True,True,True,True,True
105,"multiply(df_min(correlation(momentum_60d, open_close_range, 240), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))), add(rank(momentum_5d), df_min(ts_rank(adv20, 24), df_min(momentum_20d, adv20))))",4.923191880674831,17.10734595249867,-0.004387294113088577,0.2469810795202742,4.936333960855043,7.805680654633531,0.050649109019646886,0.8338147870041475,8.958842823666542,4.936333960855043,8,False,True,True,True,True,True,True,True,False,True
106,"multiply(df_min(sma(sma(volume_momentum_1, 24), 48), df_min(sma(volume_momentum_1, 18), momentum_20d)), add(rank(momentum_5d), df_min(ts_skewness(parkinson_volatility_20, 180), df_min(momentum_20d, adv20))))",4.558821174341031,14.578084142235012,-0.003004759488196908,0.25273466782042997,4.615466272485391,13.44610712866628,0.0480841572425508,1.1631215948114624,4.615466272485391,4.645007776898691,9,True,True,True,True,True,True,True,True,True,True
107,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_min(momentum_20d, 12)), 6)",3.948824328410165,11.685822160621852,-0.008705464083987324,0.26053622194495607,3.963625241300638,5.723060633973357,0.05142429954321978,0.7750258965903805,9.69448411188201,3.963625241300638,8,False,True,True,True,True,True,True,True,False,True
108,"stddev(df_max(add(upper_shadow, add(vwap_deviation, vwap_deviation)), df_max(add(momentum_20d, momentum_5d), ts_min(momentum_60d, 36))), 6)",3.7478126872287225,12.387633027808649,-0.015462620342836568,0.2335126082683723,0.0,10.688171649754644,0.048733690466490474,0.7482261098812771,0.0,3.8542076558403533,7,False,True,True,True,False,True,False,True,True,True
109,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(delay(volume, 90), 36)), 6)",4.917896242325643,14.338423291217527,-0.012490688171677035,0.2731656700947274,3.535430996786966,5.087454728301219,0.036890994074729254,0.7104293314518775,3.535430996786966,4.580688176548296,9,True,True,True,True,True,True,True,True,True,True
110,"multiply(df_min(sma(ts_skewness(momentum_60d, 12), 48), df_min(sma(volume_momentum_1, 18), df_min(momentum_20d, adv20))), add(rank(momentum_5d), df_min(ts_rank(adv20, 18), df_min(momentum_20d, adv20))))",4.610586973777032,15.777498985179026,-0.0028754319497242466,0.24223811393920047,4.615596881902403,9.741295253466603,0.051460998847246586,0.9400864608826346,8.851858659813793,4.615596881902403,8,False,True,True,True,True,True,True,True,False,True
111,"stddev(df_max(add(upper_shadow, vwap_deviation), df_max(add(momentum_20d, momentum_5d), ts_max(momentum_60d, 36))), 6)",3.1956796043458553,9.78184680136394,-0.014512785324091242,0.22523776425535696,0.0,11.405586260936055,0.053065129430979685,0.8351938691653051,0.0,3.286235599615678,6,False,True,True,True,False,True,False,True,False,True
112,"stddev(df_max(add(upper_shadow, add(vwap_deviation, vwap_deviation)), df_max(add(momentum_20d, momentum_5d), ts_skewness(momentum_5d, 240))), 6)",3.7264119416372594,12.526194173228722,-0.007427723404205007,0.23915180518778514,3.6934874359860927,10.68339684512771,0.048179509581477806,0.7687734116559708,7.444534070256824,3.6934874359860927,9,True,True,True,True,True,True,True,True,True,True
113,"stddev(df_max(add(upper_shadow, add(vwap_deviation, vwap_deviation)), df_max(rank(historical_volatility_120), add(momentum_20d, momentum_20d))), 6)",3.4536631381588645,12.973282301456955,-0.010806525996018208,0.18157045321253804,3.539499206084751,10.83558194260458,0.04102104970239326,0.6137611397835926,5.4069940045389675,3.539499206084751,9,True,True,True,True,True,True,True,True,True,True
114,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(adv20, returns), 18)), 18)",4.07898197406779,16.670653976077496,-0.01307138937570164,0.09703379409297101,4.125251907623558,6.143694884388311,0.03746236459229007,0.6926444141301747,4.9203726159769845,4.125251907623558,9,True,True,True,True,True,True,True,True,True,True
115,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(momentum_20d, open_close_range), 18)), 6)",4.518269312759778,12.78858691590604,-0.010563714775943764,0.24466458825229734,4.573325857463824,8.819912020001155,0.04310208193613069,1.1840058582866984,6.62445741771929,4.573325857463824,9,True,True,True,True,True,True,True,True,True,True
116,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(volume_momentum_1, returns), 18)), 6)",5.129204982121177,15.918124006849794,-0.012217198720236225,0.25676876889758793,1.8783039507519927,6.696586134357836,0.04143630723429518,0.9377022221563628,1.8783039507519927,5.345355950241782,9,True,True,True,True,True,True,True,True,True,True
117,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(parkinson_volatility_20, upper_shadow), 18)), 6)",3.580048114232865,9.379550370055803,-0.011576450813029385,0.24625427012345688,3.6452664097122844,16.851793625582438,0.0431227772294727,1.2976255586285887,5.123214489682334,3.6452664097122844,9,True,True,True,True,True,True,True,True,True,True
118,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(historical_volatility_20, lower_shadow), 18)), 6)",4.985630618373261,14.600554129592997,-0.008823303256813807,0.24819353969201338,-5.442330109467957,8.319699454665212,0.044219399282617686,0.8198453488384683,-5.442330109467957,5.166211927652754,7,False,True,True,True,False,True,False,True,True,True
119,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(volume_momentum_1, 18)), 6)",3.604936232775299,7.734600680176744,-0.005586157789661509,0.2902517404623987,0.035255134891072966,9.09429543420844,0.030864938235907413,0.616916194840749,0.035255134891072966,3.7322015952421705,8,False,True,True,True,True,True,False,True,True,True
120,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), ts_kurtosis(true_divide(historical_volatility_20, open_close_range), 18)), 6)",4.334830703649222,12.141281704969217,-0.011094998836112641,0.24361495667704283,0.3568058063333856,9.09328827488876,0.042593986078607246,0.9618721572062094,0.3568058063333856,4.421649005396739,8,False,True,True,True,True,True,False,True,True,True
121,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), Sign(Decay_lin(momentum_20d, 60))), 6)",4.3879651990959925,14.81300818996241,-0.006407155107214088,0.1933597044064849,0.0,4.860831301301787,0.03955994220012234,0.6260593992725383,0.0,4.5992764828489525,7,False,True,True,True,False,True,False,True,True,True
122,"stddev(df_min(df_min(Abs(momentum_20d), Abs(momentum_20d)), ts_kurtosis(true_divide(beta_to_btc, returns), 18)), 6)",3.3365170418580092,9.047245118294887,-0.018628665885264,0.24147807501712762,2.7211328743780956,11.481883941304112,0.0517402255852593,0.8029273045545481,2.7211328743780956,3.4043864843803866,8,False,True,True,True,True,True,True,True,False,True
123,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(open, historical_volatility_20), adv20, 60)), 60)",3.838034148358453,21.289674815864835,-0.0020867793143272756,0.040181852161106354,3.874357222373806,9.037714644751187,0.04249732488912907,0.48449237044867155,5.185980543216696,3.874357222373806,9,True,True,True,True,True,True,True,True,True,True
124,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(open, historical_volatility_20), historical_volatility_20, 60)), 6)",4.675610629762229,14.181030880957133,-0.011365983128700293,0.2615862935520765,-0.043298336560678836,7.495536596453499,0.03959218928543591,1.006369712114349,-0.043298336560678836,4.842055223090455,7,False,True,True,True,False,True,False,True,True,True
125,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(open, historical_volatility_20), momentum_5d, 60)), 6)",3.697695905102588,9.514412502034874,-0.010713573861901683,0.2773532111166837,3.181663143538833,8.989163549668195,0.05178704385209238,0.7621235986154852,3.181663143538833,3.8542334805439022,8,False,True,True,True,True,True,True,True,False,True
126,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(momentum_20d, historical_volatility_20), adv20, 60)), 60)",3.97449349772129,27.058009926333074,-0.011092882699799295,0.0349645731699692,3.988745349595483,7.620870878683191,0.02879082317369526,0.6066714835751835,5.821609508801652,3.988745349595483,9,True,True,True,True,True,True,True,True,True,True
127,"ts_zscore(rank(stddev(momentum_60d, 18)), 240)",2.539340188654195,5.732568902582772,-0.011333647969391895,0.17604490630477826,0.0,7.009896456039214,0.039992629757122235,-0.026970500812256343,0.0,2.6111689993067944,6,False,False,True,True,False,True,False,True,True,True
128,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(open, lower_shadow), open, 60)), 6)",4.786930182574266,14.341166532227424,-0.01122850383378254,0.26952773193566926,4.152485079275688,3.776569518853548,0.035942676720292076,0.7800096314867966,4.152485079275688,4.887925623597413,9,True,True,True,True,True,True,True,True,True,True
129,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(historical_volatility_10, historical_volatility_20), open, 60)), 6)",4.065087623134995,11.067188379799184,-0.004923213983390491,0.2700281633069233,-4.723163959112856,9.09183917300411,0.04416049064018194,0.7888651725524817,-4.723163959112856,4.21063399865874,7,False,True,True,True,False,True,False,True,True,True
130,"stddev(df_min(df_min(Abs(momentum_20d), rank(vwap_deviation)), correlation(df_max(open, historical_volatility_20), open, 60)), 6)",3.7522125839310605,12.677322972607262,-0.01992336189692775,0.20166175669243572,-2.7226645397982043,6.513333996292297,0.04450454190154382,0.5355019187422905,-2.7226645397982043,3.902726491735884,7,False,True,True,True,False,True,False,True,True,True
131,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(sma(parkinson_volatility_10, 30), open, 60)), 6)",4.651173934986277,13.105331561015959,-0.004532810125106661,0.2733868795475207,1.3142767656893781,7.80399835422516,0.041245788867352404,0.9525267756335923,1.3142767656893781,4.789937243934957,9,True,True,True,True,True,True,True,True,True,True
132,"stddev(df_min(df_min(Abs(momentum_20d), rank(lower_shadow)), correlation(df_max(historical_volatility_60, historical_volatility_20), open, 60)), 6)",4.235106668594128,11.534975800807025,-0.01010704086329073,0.2727701717704846,-6.149722715655475,7.267392401528974,0.043345231298862294,1.0650578363405383,-6.149722715655475,4.401564050307359,7,False,True,True,True,False,True,False,True,True,True
