symbol,shortable,shortableShares,last_close,shortable_dollars,shortable_indicator,fee_rate,status
BIPH,True,157468,16.46,2591923.28,,,AVAILABLE
BIPI,True,381576,16.54,6311267.04,,,AVAILABLE
BKTI,True,76023,94.51,7184933.73,,,AVAILABLE
BMRC,True,420747,26.48,11141380.56,,,AVAILABLE
BNED,True,133605,10.93,1460302.65,,,AVAILABLE
BNH,True,401218,16.03,6431524.54,,,AVAILABLE
BNJ,True,310909,15.29,4753798.61,,,AVAILABLE
BNTC,True,201240,14.21,2859620.4,,,AVAILABLE
BOC,True,972838,12.4,12063191.2,,,AVAILABLE
BOW,True,545425,24.075,13131106.88,,,AVAILABLE
BRBS,True,4254116,3.575,15208464.7,,,AVAILABLE
BSM,True,2874675,13.87,39871742.25,,,AVAILABLE
BSRR,True,105305,37.09,3905762.45,,,AVAILABLE
BSVN,True,109648,43.55,4775170.4,,,AVAILABLE
BV,True,3375024,12.68,42795304.32,,,AVAILABLE
BVS,True,1719681,10.315,17738509.52,,,AVAILABLE
BWB,True,653055,19.095,12470085.22,,,AVAILABLE
BWFG,True,150748,52.81,7961001.88,,,AVAILABLE
BWMN,True,259326,31.53,8176548.78,,,AVAILABLE
BXC,True,234658,59.56,13976230.48,,,AVAILABLE
BY,True,416461,33.62,14001418.82,,,AVAILABLE
CABA,True,2157668,3.335,7195822.78,,,AVAILABLE
CAC,True,213226,50.5799,10784949.76,,,AVAILABLE
CADL,True,776752,7.4857,5814532.45,,,AVAILABLE
CAPL,True,211462,21.1521,4472865.37,,,AVAILABLE
CARE,True,643367,24.305,15637034.94,,,AVAILABLE
CASS,True,138998,48.69,6767812.62,,,AVAILABLE
CATX,True,741615,4.735,3511547.03,,,AVAILABLE
CBAN,True,435998,21.27,9273677.46,,,AVAILABLE
CBIO,True,791808,21.88,17324759.04,,,AVAILABLE
CBLL,True,723578,20.98,15180666.44,,,AVAILABLE
CBNK,True,545083,32.685,17816037.86,,,AVAILABLE
CCAP,True,1214652,13.595,16513193.94,,,AVAILABLE
CCBG,True,248415,47.12,11705314.8,,,AVAILABLE
CCIX,True,1000353,10.75,10753794.75,,,AVAILABLE
CCNE,True,330157,31.28,10327310.96,,,AVAILABLE
CCRN,True,1700086,9.9479,16912285.52,,,AVAILABLE
CCSI,True,1506665,28.5199,42969935.13,,,AVAILABLE
CCZ,True,45300,65.0,2944500.0,,,AVAILABLE
CD,True,5451,5.715,31152.47,,,AVAILABLE
CDZI,True,1858656,4.99,9274693.44,,,AVAILABLE
CENT,True,209811,38.605,8099753.65,,,AVAILABLE
CERS,True,3986680,2.04,8132827.2,,,AVAILABLE
CET,True,110346,52.85,5831786.1,,,AVAILABLE
CGABL,True,62222,17.54,1091373.88,,,AVAILABLE
CHMG,True,34966,67.885,2373666.91,,,AVAILABLE
CHSCL,True,41745,25.5,1064497.5,,,AVAILABLE
CION,True,1048040,7.595,7959863.8,,,AVAILABLE
CIVB,True,509648,24.385,12427766.48,,,AVAILABLE
CLBK,True,234495,18.48,4333467.6,,,AVAILABLE
