date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2024-02-09,-1047.543764638845,-95.2312513308041,1574802.8378815202,-3160.097792328568
2024-02-12,8.19046873081777,0.7445880664379791,1574811.028350251,-3151.9073235976975
2024-02-13,41.56542791390984,3.778675264900895,1574852.5937781648,-3110.3418956839014
2024-02-14,419.9652710074331,38.17866100067574,1575272.5590491723,-2690.376624676399
2024-02-15,-202.1451556042074,-18.37683232765522,1575070.413893568,-2892.521780280629
2024-02-16,633.5318628660709,57.59380571509736,1575703.9457564342,-2258.9899174144957
2024-02-20,649.6539341725837,59.059448561143974,1576353.5996906068,-1609.3359832419083
2024-02-21,-64.9586869780976,-5.9053351798270555,1576288.6410036287,-1674.2946702199988
2024-02-22,2693.288610459407,244.84441913267338,1578981.929614088,0.0
2024-02-23,3170.484612668536,288.2258738789578,1582152.4142267567,0.0
2024-02-26,-704.151689948937,-64.01378999535791,1581448.2625368077,-704.1516899489798
2024-02-27,3601.134834576035,327.37589405236685,1585049.3973713836,0.0
2024-02-28,3212.686633495664,292.06242122687854,1588262.0840048792,0.0
2024-02-29,1535.737920778014,139.61253825254673,1589797.8219256573,0.0
2024-03-01,-1358.9236396684398,-123.5385126971309,1588438.898285989,-1358.9236396683846
2024-03-04,166.12488047605515,15.10226186145956,1588605.023166465,-1192.7987591922283
2024-03-05,-493.6972710897551,-44.88157009906864,1588111.3258953753,-1686.4960302819964
2024-03-06,431.6803884476454,39.24367167705867,1588543.006283823,-1254.8156418344006
2024-03-07,479.4715564172184,43.58832331065622,1589022.47784024,-775.3440854172222
2024-03-08,-1437.7129296214434,-130.70117542013122,1587584.7649106188,-2213.057015038561
2024-03-11,1698.208262370603,154.38256930641845,1589282.9731729894,-514.8487526678946
2024-03-12,25.769821888025547,2.3427110807295954,1589308.7429948775,-489.0789307798259
2024-03-13,-1764.4020822911764,-160.40018929919788,1587544.3409125863,-2253.481013071025
2024-03-14,752.3845994348787,68.39859994862533,1588296.7255120212,-1501.0964136361144
2024-03-15,1561.7705938954157,141.97914489958325,1589858.4961059166,0.0
2024-03-18,1533.078750321899,139.370795483809,1591391.5748562384,0.0
2024-03-19,650.6679165783108,59.15162877984644,1592042.2427728167,0.0
2024-03-20,1347.9808523233478,122.54371384757707,1593390.22362514,0.0
2024-03-21,2045.603158952527,185.96392354113883,1595435.8267840925,0.0
2024-03-22,-2483.1857827315494,-225.74416206650451,1592952.641001361,-2483.1857827315107
2024-03-25,520.369448023639,47.30631345669446,1593473.0104493846,-1962.8163347078953
2024-03-26,3769.815136368083,342.710466942553,1597242.8255857527,0.0
2024-03-27,3311.6031675645313,301.0548334149574,1600554.4287533173,0.0
2024-03-28,-607.9579675411055,-55.2689061401005,1599946.4707857762,-607.9579675411806
2024-04-01,-784.810589158842,-71.34641719625837,1599161.6601966172,-1392.768556700088
2024-04-02,1689.860419574906,153.62367450680964,1600851.5206161921,0.0
2024-04-03,2443.2560764858217,222.11418877143834,1603294.776692678,0.0
2024-04-04,-953.2672732011348,-86.66066120010316,1602341.5094194768,-953.2672732011415
2024-04-05,834.7794309985377,75.88903918168525,1603176.2888504753,-118.48784220265225
2024-04-08,435.0757080630292,39.55233709663902,1603611.3645585384,0.0
2024-04-09,584.8685419404896,53.169867449135424,1604196.233100479,0.0
2024-04-10,832.7453619531175,75.70412381391978,1605028.978462432,0.0
2024-04-11,1917.7725852254794,174.34296229322538,1606946.7510476576,0.0
2024-04-12,87.54385935204164,7.958532668367422,1607034.2949070097,0.0
2024-04-15,644.2427700915619,58.56752455377835,1607678.5376771013,0.0
2024-04-16,280.84992251441935,25.531811137674485,1607959.3875996158,0.0
2024-04-17,-542.9658113794344,-49.36052830722131,1607416.4217882364,-542.9658113794867
2024-04-18,202.20525739977643,18.382296127252403,1607618.627045636,-340.7605539797805
2024-04-19,0.4892519048090662,0.04447744589173329,1607619.116297541,-340.27130207489245
2024-04-22,352.63224288682034,32.057476626074575,1607971.7485404278,0.0
